timestamp,elapsed_s,qr_command,all_detections,nav_state,cmd_linear_x,cmd_angular_z,detection_event
2026-05-22T07:51:34.903,0.235,,,,0.0000,0.0000,False
2026-05-22T07:51:35.104,0.435,,,,0.0000,0.0000,False
2026-05-22T07:51:35.304,0.635,,,,0.0000,0.0000,False
2026-05-22T07:51:35.503,0.834,,,,0.0000,0.0000,False
2026-05-22T07:51:35.703,1.034,,,,0.0000,0.0000,False
2026-05-22T07:51:35.903,1.234,,,,0.0000,0.0000,False
2026-05-22T07:51:36.103,1.434,,,,0.0000,0.0000,False
2026-05-22T07:51:36.303,1.634,,,,0.0000,0.0000,False
2026-05-22T07:51:36.503,1.834,,,,0.0000,0.0000,False
2026-05-22T07:51:36.703,2.034,,,,0.0000,0.0000,False
2026-05-22T07:51:36.903,2.234,,,,0.0000,0.0000,False
2026-05-22T07:51:37.103,2.434,,,,0.0000,0.0000,False
2026-05-22T07:51:37.303,2.634,,,,0.0000,0.0000,False
2026-05-22T07:51:37.503,2.834,,,,0.0000,0.0000,False
2026-05-22T07:51:37.707,3.039,,,,0.0000,0.0000,False
2026-05-22T07:51:37.903,3.234,,,,0.0000,0.0000,False
2026-05-22T07:51:38.103,3.434,,,,0.0000,0.0000,False
2026-05-22T07:51:38.304,3.635,,,,0.0000,0.0000,False
2026-05-22T07:51:38.503,3.835,,,,0.0000,0.0000,False
2026-05-22T07:51:38.703,4.034,,,,0.0000,0.0000,False
2026-05-22T07:51:38.903,4.234,,,,0.0000,0.0000,False
2026-05-22T07:51:39.103,4.434,,,,0.0000,0.0000,False
2026-05-22T07:51:39.303,4.634,,,,0.0000,0.0000,False
2026-05-22T07:51:39.503,4.834,,,,0.0000,0.0000,False
2026-05-22T07:51:39.703,5.034,,,,0.0000,0.0000,False
2026-05-22T07:51:39.903,5.234,,,,0.0000,0.0000,False
2026-05-22T07:51:40.103,5.434,,,,0.0000,0.0000,False
2026-05-22T07:51:40.303,5.634,,,,0.0000,0.0000,False
2026-05-22T07:51:40.503,5.834,,,,0.0000,0.0000,False
2026-05-22T07:51:40.703,6.034,,,,0.0000,0.0000,False
2026-05-22T07:51:40.903,6.234,,,,0.0000,0.0000,False
2026-05-22T07:51:41.103,6.434,,,,0.0000,0.0000,False
2026-05-22T07:51:41.303,6.634,,,,0.0000,0.0000,False
2026-05-22T07:51:41.503,6.834,,,,0.0000,0.0000,False
2026-05-22T07:51:41.703,7.034,,,,0.0000,0.0000,False
2026-05-22T07:51:41.903,7.234,,,,0.0000,0.0000,False
2026-05-22T07:51:42.103,7.434,,,,0.0000,0.0000,False
2026-05-22T07:51:42.303,7.634,,,,0.0000,0.0000,False
2026-05-22T07:51:42.503,7.834,,,,0.0000,0.0000,False
2026-05-22T07:51:42.703,8.034,,,,0.0000,0.0000,False
2026-05-22T07:51:42.903,8.234,,,,0.0000,0.0000,False
2026-05-22T07:51:43.103,8.434,,,,0.0000,0.0000,False
2026-05-22T07:51:43.303,8.634,,,,0.0000,0.0000,False
2026-05-22T07:51:43.503,8.834,,,,0.0000,0.0000,False
2026-05-22T07:51:43.703,9.034,,,,0.0000,0.0000,False
2026-05-22T07:51:43.903,9.234,,,,0.0000,0.0000,False
2026-05-22T07:51:44.103,9.434,,,,0.0000,0.0000,False
2026-05-22T07:51:44.303,9.634,,,,0.0000,0.0000,False
2026-05-22T07:51:44.503,9.834,,,,0.0000,0.0000,False
2026-05-22T07:51:44.703,10.034,,,,0.0000,0.0000,False
2026-05-22T07:51:44.903,10.234,STOP,"[{""timestamp"": ""2026-05-22T07:51:44"", ""content"": ""STOP"", ""bbox_area"": 6608.575881958008}]",,0.0000,0.0000,True
2026-05-22T07:51:45.103,10.434,,,,0.0000,0.0000,False
2026-05-22T07:51:45.303,10.634,,,,0.0000,0.0000,False
2026-05-22T07:51:45.503,10.834,,,,0.0000,0.0000,False
2026-05-22T07:51:45.703,11.034,,,,0.0000,0.0000,False
2026-05-22T07:51:45.903,11.234,,"[{""timestamp"": ""2026-05-22T07:51:45"", ""content"": ""STOP"", ""bbox_area"": 6823.444686190691}]",,0.0000,0.0000,False
2026-05-22T07:51:46.103,11.434,STOP,"[{""timestamp"": ""2026-05-22T07:51:46"", ""content"": ""STOP"", ""bbox_area"": 6966.388229370117}]",,0.0000,0.0000,True
2026-05-22T07:51:46.303,11.635,,,,0.0000,0.0000,False
2026-05-22T07:51:46.503,11.834,,"[{""timestamp"": ""2026-05-22T07:51:46"", ""content"": ""STOP"", ""bbox_area"": 6968.594436645508}]",,0.0000,0.0000,False
2026-05-22T07:51:46.703,12.034,,"[{""timestamp"": ""2026-05-22T07:51:46"", ""content"": ""STOP"", ""bbox_area"": 6943.754346294329}]",,0.0000,0.0000,False
2026-05-22T07:51:46.903,12.234,,"[{""timestamp"": ""2026-05-22T07:51:46"", ""content"": ""STOP"", ""bbox_area"": 6930.0}]",,0.0000,0.0000,False
2026-05-22T07:51:47.103,12.434,,,,0.0000,0.0000,False
2026-05-22T07:51:47.303,12.634,STOP,"[{""timestamp"": ""2026-05-22T07:51:47"", ""content"": ""STOP"", ""bbox_area"": 6930.0}]",,0.0000,0.0000,True
2026-05-22T07:51:47.503,12.834,,,,0.0000,0.0000,False
2026-05-22T07:51:47.703,13.034,,,,0.0000,0.0000,False
2026-05-22T07:51:47.903,13.234,,"[{""timestamp"": ""2026-05-22T07:51:47"", ""content"": ""STOP"", ""bbox_area"": 6930.0}]",,0.0000,0.0000,False
2026-05-22T07:51:48.103,13.434,,,,0.0000,0.0000,False
2026-05-22T07:51:48.303,13.634,STOP,"[{""timestamp"": ""2026-05-22T07:51:48"", ""content"": ""STOP"", ""bbox_area"": 6937.4110107421875}]",,0.0000,0.0000,True
2026-05-22T07:51:48.503,13.834,,"[{""timestamp"": ""2026-05-22T07:51:48"", ""content"": ""STOP"", ""bbox_area"": 6953.667653157376}]",,0.0000,0.0000,False
2026-05-22T07:51:48.703,14.034,,,,0.0000,0.0000,False
2026-05-22T07:51:48.903,14.234,,,,0.0000,0.0000,False
2026-05-22T07:51:49.103,14.434,,"[{""timestamp"": ""2026-05-22T07:51:48"", ""content"": ""STOP"", ""bbox_area"": 6906.137106777169}]",,0.0000,0.0000,False
2026-05-22T07:51:49.303,14.634,,,,0.0000,0.0000,False
2026-05-22T07:51:49.503,14.834,,,,0.0000,0.0000,False
2026-05-22T07:51:49.703,15.034,STOP,"[{""timestamp"": ""2026-05-22T07:51:49"", ""content"": ""STOP"", ""bbox_area"": 7006.954226633534}]",,0.0000,0.0000,True
2026-05-22T07:51:49.903,15.234,,,,0.0000,0.0000,False
2026-05-22T07:51:50.103,15.434,,"[{""timestamp"": ""2026-05-22T07:51:50"", ""content"": ""STOP"", ""bbox_area"": 7017.871821600944}]",,0.0000,0.0000,False
2026-05-22T07:51:50.303,15.634,,"[{""timestamp"": ""2026-05-22T07:51:50"", ""content"": ""STOP"", ""bbox_area"": 7006.954226633534}]",,0.0000,0.0000,False
2026-05-22T07:51:50.503,15.834,,,,0.0000,0.0000,False
2026-05-22T07:51:50.703,16.034,,,,0.0000,0.0000,False
