timestamp,elapsed_s,qr_command,all_detections,nav_state,cmd_linear_x,cmd_angular_z,detection_event
2026-05-22T09:39:53.273,0.391,,,,0.0000,0.0000,False
2026-05-22T09:39:53.474,0.592,,,,0.0000,0.0000,False
2026-05-22T09:39:53.673,0.791,,,,0.0000,0.0000,False
2026-05-22T09:39:53.873,0.991,,,,0.0000,0.0000,False
2026-05-22T09:39:54.073,1.191,,,,0.0000,0.0000,False
2026-05-22T09:39:54.273,1.391,,,,0.0000,0.0000,False
2026-05-22T09:39:54.473,1.591,,,,0.0000,0.0000,False
2026-05-22T09:39:54.673,1.791,,,,0.0000,0.0000,False
2026-05-22T09:39:54.873,1.991,,,,0.0000,0.0000,False
2026-05-22T09:39:55.073,2.191,,,,0.0000,0.0000,False
2026-05-22T09:39:55.273,2.391,,,,0.0000,0.0000,False
2026-05-22T09:39:55.473,2.591,,,,0.0000,0.0000,False
2026-05-22T09:39:55.673,2.791,,,,0.0000,0.0000,False
2026-05-22T09:39:55.874,2.992,,,,0.0000,0.0000,False
2026-05-22T09:39:56.073,3.191,,,,0.0000,0.0000,False
2026-05-22T09:39:56.284,3.402,,,,0.0000,0.0000,False
2026-05-22T09:39:56.473,3.591,,,,0.0000,0.0000,False
2026-05-22T09:39:56.673,3.791,,,,0.0000,0.0000,False
2026-05-22T09:39:56.873,3.991,,,,0.0000,0.0000,False
2026-05-22T09:39:57.073,4.191,,,,0.0000,0.0000,False
2026-05-22T09:39:57.273,4.391,,,,0.0000,0.0000,False
2026-05-22T09:39:57.473,4.591,,,,0.0000,0.0000,False
2026-05-22T09:39:57.673,4.791,,,,0.0000,0.0000,False
2026-05-22T09:39:57.873,4.991,,,,0.0000,0.0000,False
2026-05-22T09:39:58.073,5.191,,,,0.0000,0.0000,False
2026-05-22T09:39:58.273,5.391,,,,0.0000,0.0000,False
2026-05-22T09:39:58.473,5.591,,,,0.0000,0.0000,False
2026-05-22T09:39:58.673,5.791,,,,0.0000,0.0000,False
2026-05-22T09:39:58.873,5.991,,,,0.0000,0.0000,False
2026-05-22T09:39:59.073,6.191,,,,0.0000,0.0000,False
2026-05-22T09:39:59.273,6.391,,,,0.0000,0.0000,False
2026-05-22T09:39:59.473,6.591,,,,0.0000,0.0000,False
2026-05-22T09:39:59.673,6.791,,,,0.0000,0.0000,False
2026-05-22T09:39:59.873,6.991,,,,0.0000,0.0000,False
2026-05-22T09:40:00.073,7.191,,,,0.0000,0.0000,False
2026-05-22T09:40:00.273,7.391,,,,0.0000,0.0000,False
2026-05-22T09:40:00.473,7.591,,,,0.0000,0.0000,False
2026-05-22T09:40:00.673,7.791,,,,0.0000,0.0000,False
2026-05-22T09:40:00.873,7.991,,,,0.0000,0.0000,False
2026-05-22T09:40:01.073,8.191,,,,0.0000,0.0000,False
2026-05-22T09:40:01.273,8.391,,,,0.0000,0.0000,False
2026-05-22T09:40:01.473,8.591,,,,0.0000,0.0000,False
2026-05-22T09:40:01.673,8.791,,,,0.0000,0.0000,False
2026-05-22T09:40:01.873,8.991,,,,0.0000,0.0000,False
2026-05-22T09:40:02.073,9.191,,,,0.0000,0.0000,False
2026-05-22T09:40:02.273,9.391,,,,0.0000,0.0000,False
2026-05-22T09:40:02.473,9.591,,,,0.0000,0.0000,False
2026-05-22T09:40:02.673,9.791,,,,0.0000,0.0000,False
2026-05-22T09:40:02.873,9.991,,,,0.0000,0.0000,False
2026-05-22T09:40:03.073,10.191,,,,0.0000,0.0000,False
2026-05-22T09:40:03.273,10.391,,,,0.0000,0.0000,False
2026-05-22T09:40:03.473,10.591,,,,0.0000,0.0000,False
2026-05-22T09:40:03.673,10.791,,,,0.0000,0.0000,False
2026-05-22T09:40:03.873,10.991,,,,0.0000,0.0000,False
2026-05-22T09:40:04.073,11.191,,,,0.0000,0.0000,False
2026-05-22T09:40:04.273,11.391,,,,0.0000,0.0000,False
2026-05-22T09:40:04.473,11.591,,,,0.0000,0.0000,False
2026-05-22T09:40:04.673,11.791,,,,0.0000,0.0000,False
2026-05-22T09:40:04.873,11.991,,,,0.0000,0.0000,False
2026-05-22T09:40:05.073,12.191,,,,0.0000,0.0000,False
2026-05-22T09:40:05.273,12.391,,,,0.0000,0.0000,False
2026-05-22T09:40:05.473,12.591,,,,0.0000,0.0000,False
2026-05-22T09:40:05.673,12.791,,,,0.0000,0.0000,False
2026-05-22T09:40:05.873,12.991,,,,0.0000,0.0000,False
2026-05-22T09:40:06.073,13.191,,,,0.0000,0.0000,False
2026-05-22T09:40:06.273,13.391,,,,0.0000,0.0000,False
2026-05-22T09:40:06.473,13.591,,,,0.0000,0.0000,False
2026-05-22T09:40:06.673,13.791,,,,0.0000,0.0000,False
2026-05-22T09:40:06.873,13.991,GO,"[{""timestamp"": ""2026-05-22T09:40:06"", ""content"": ""GO"", ""bbox_area"": 23528.73430490587}]",DRIVING,0.0800,0.0000,True
2026-05-22T09:40:07.073,14.191,,,DRIVING,0.0800,0.0000,False
2026-05-22T09:40:07.273,14.391,,,DRIVING,0.0800,0.0000,False
2026-05-22T09:40:07.473,14.591,,"[{""timestamp"": ""2026-05-22T09:40:07"", ""content"": ""GO"", ""bbox_area"": 23108.133953172714}]",DRIVING,0.0800,0.0000,False
2026-05-22T09:40:07.673,14.791,,"[{""timestamp"": ""2026-05-22T09:40:07"", ""content"": ""GO"", ""bbox_area"": 23251.310695078224}]",DRIVING,0.0800,0.0000,False
