timestamp,elapsed_s,qr_command,all_detections,nav_state,cmd_linear_x,cmd_angular_z,detection_event,lighting_state
2026-05-21T11:11:43.397,0.242,,,,0.0000,0.0000,False,
2026-05-21T11:11:43.595,0.439,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:43.795,0.639,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:43.995,0.839,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:44.197,1.042,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:44.395,1.239,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:44.595,1.440,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:44.796,1.640,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:44.995,1.840,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:45.195,2.040,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:45.395,2.239,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:45.595,2.439,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:45.795,2.639,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:45.995,2.839,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:46.195,3.040,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:46.395,3.239,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:46.595,3.440,,,IDLE,0.0000,0.0000,False,
2026-05-21T11:11:46.795,3.640,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:46.995,3.840,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:47.196,4.041,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:47.395,4.240,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:47.595,4.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:47.795,4.640,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:47.995,4.840,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:48.195,5.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:48.395,5.240,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:48.595,5.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:48.795,5.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:48.995,5.839,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:49.195,6.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:49.395,6.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:49.595,6.439,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:49.795,6.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:49.997,6.842,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:50.196,7.041,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:50.395,7.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:50.595,7.439,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:50.795,7.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:50.995,7.840,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:51.195,8.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:51.395,8.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:51.594,8.439,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:51.795,8.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:51.994,8.839,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:52.194,9.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:52.395,9.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:52.595,9.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:52.795,9.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:52.995,9.840,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:53.195,10.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:53.395,10.240,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:53.595,10.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:53.795,10.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:53.995,10.840,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:54.195,11.040,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:54.395,11.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:54.595,11.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:54.795,11.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:54.995,11.839,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:55.195,12.040,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:55.395,12.239,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:55.595,12.439,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:55.795,12.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:55.995,12.839,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:56.195,13.039,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:56.395,13.240,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:56.595,13.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:56.795,13.639,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:56.996,13.841,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:57.195,14.040,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:57.395,14.240,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:57.595,14.440,,,IDLE,0.0000,0.0000,False,BRIGHT
2026-05-21T11:11:57.795,14.639,GO,"[{""timestamp"": ""2026-05-21T11:11:57"", ""content"": ""GO"", ""bbox_area"": 2400.780467200326}]",DRIVING,0.0800,0.0000,True,BRIGHT
2026-05-21T11:11:57.995,14.840,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:58.201,15.046,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:58.395,15.240,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:58.595,15.439,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:58.795,15.639,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:58.995,15.840,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:59.195,16.040,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:59.395,16.240,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:59.595,16.440,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:59.795,16.640,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:11:59.995,16.840,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:12:00.196,17.041,,,DRIVING,0.0800,0.0000,False,BRIGHT
2026-05-21T11:12:00.395,17.240,,,DRIVING,0.0800,0.0000,False,BRIGHT
