timestamp,elapsed_s,qr_command,all_detections,nav_state,cmd_linear_x,cmd_angular_z,detection_event
2026-05-22T08:34:09.115,0.224,,,,0.0000,0.0000,False
2026-05-22T08:34:09.315,0.424,,,,0.0000,0.0000,False
2026-05-22T08:34:09.516,0.625,,,,0.0000,0.0000,False
2026-05-22T08:34:09.715,0.824,,,,0.0000,0.0000,False
2026-05-22T08:34:09.915,1.024,,,,0.0000,0.0000,False
2026-05-22T08:34:10.115,1.224,,,,0.0000,0.0000,False
2026-05-22T08:34:10.315,1.424,,,,0.0000,0.0000,False
2026-05-22T08:34:10.515,1.624,,,,0.0000,0.0000,False
2026-05-22T08:34:10.716,1.825,,,,0.0000,0.0000,False
2026-05-22T08:34:10.915,2.024,,,,0.0000,0.0000,False
2026-05-22T08:34:11.115,2.224,,,,0.0000,0.0000,False
2026-05-22T08:34:11.315,2.424,,,,0.0000,0.0000,False
2026-05-22T08:34:11.515,2.624,,,,0.0000,0.0000,False
2026-05-22T08:34:11.715,2.824,,,,0.0000,0.0000,False
2026-05-22T08:34:11.915,3.024,,,,0.0000,0.0000,False
2026-05-22T08:34:12.115,3.224,,,,0.0000,0.0000,False
2026-05-22T08:34:12.315,3.424,,,,0.0000,0.0000,False
2026-05-22T08:34:12.515,3.624,,,,0.0000,0.0000,False
2026-05-22T08:34:12.715,3.824,,,,0.0000,0.0000,False
2026-05-22T08:34:12.915,4.024,,,,0.0000,0.0000,False
2026-05-22T08:34:13.115,4.224,,,,0.0000,0.0000,False
2026-05-22T08:34:13.315,4.424,,,,0.0000,0.0000,False
2026-05-22T08:34:13.515,4.624,,,,0.0000,0.0000,False
2026-05-22T08:34:13.715,4.824,,,,0.0000,0.0000,False
2026-05-22T08:34:13.915,5.024,,,,0.0000,0.0000,False
2026-05-22T08:34:14.115,5.224,,,,0.0000,0.0000,False
2026-05-22T08:34:14.315,5.424,,,,0.0000,0.0000,False
2026-05-22T08:34:14.515,5.624,,,,0.0000,0.0000,False
2026-05-22T08:34:14.715,5.824,,,,0.0000,0.0000,False
2026-05-22T08:34:14.915,6.024,,,,0.0000,0.0000,False
2026-05-22T08:34:15.115,6.224,,,,0.0000,0.0000,False
2026-05-22T08:34:15.315,6.424,,,,0.0000,0.0000,False
2026-05-22T08:34:15.515,6.624,,,,0.0000,0.0000,False
2026-05-22T08:34:15.715,6.824,,,,0.0000,0.0000,False
2026-05-22T08:34:15.915,7.024,,,,0.0000,0.0000,False
2026-05-22T08:34:16.119,7.228,,,,0.0000,0.0000,False
2026-05-22T08:34:16.315,7.424,,,,0.0000,0.0000,False
2026-05-22T08:34:16.515,7.624,,,,0.0000,0.0000,False
2026-05-22T08:34:16.715,7.824,,,,0.0000,0.0000,False
2026-05-22T08:34:16.915,8.024,,,,0.0000,0.0000,False
2026-05-22T08:34:17.115,8.224,,,,0.0000,0.0000,False
2026-05-22T08:34:17.315,8.424,,,,0.0000,0.0000,False
2026-05-22T08:34:17.515,8.624,,,,0.0000,0.0000,False
2026-05-22T08:34:17.715,8.824,,,,0.0000,0.0000,False
2026-05-22T08:34:17.915,9.024,,,,0.0000,0.0000,False
2026-05-22T08:34:18.115,9.224,,,,0.0000,0.0000,False
2026-05-22T08:34:18.315,9.424,,,,0.0000,0.0000,False
