distance_m,reps_detected,reps_planned,bbox_mean,bbox_std,bbox_min,bbox_max,detection_rate
0.3,10,10,27616.042979065067,2797.8867258632604,23331.491092579556,32956.75542069804,1.0
0.6,10,10,13350.290151482675,699.3525490672107,12321.58748626709,14298.837609399518,1.0
1.0,12,10,4455.586234652747,108.44279458757667,4266.239959716797,4607.9130231952295,1.2
1.5,0,10,,,,,0.0
