lighting,reps_detected,reps_planned,bbox_mean,bbox_std,bbox_min,bbox_max,detection_rate
Bright,9,10.0,9654.54023773782,170.51731568551205,9283.213314068038,9787.318085158244,0.9
Normal,10,10.0,8268.635642939364,339.6492101991953,7452.6805785961915,8666.578876569867,1.0
Dim,10,10.0,10038.487293378683,1162.7076265377812,7636.029061040375,11354.844668352976,1.0
